"advert_name","advert_details","advert_price"
"Baldassario (Rio) is looking for his next home!","KWPNBlack14 years16.2 hands","£6,500"
"JINKABELLE","ThoroughbredChestnutMare5 years15.3 hands","£6,000"
"Talented 6 YO","Irish Sports HorseChestnutMare6 years16 hands","£16,500"
"Welsh Section C 3yr old Colt","Welsh Section CBayColt3 years13.1 hands","£3,250"
"Donovan","OldenburgGelding11 years16.1 hands","SOLD!"
"Seriously well bred mare","Irish Sports HorseBayMare6 years16.2 cm","SOLD!"
"Stunning Black Sports Horse","Irish Sports HorseBlackGelding5 years16 hands","SOLD!"
"Irish Eventer / Allrounder","Irish Sports HorseChestnutGelding6 years16.1 hands","£9,750"
"Cooley sportshorse - Cruising bloodlines","IrishBayGelding13 years16.2 hands","£9,500"
"Superb KWPN x PRE filly","KWPNDapple greyFillyUnder 1","£5,500 ovno"
"EXCITING PROSPECT FOR THE FUTURE","WarmbloodGreyMare3 years16.1 hands","£5,500 ovno"
"Stunning All Rounder","Irish Sports HorseGreyMare5 years16.2 hands","POA"
"The best moving filly","Sport HorseBayFillyUnder 1","£8,500"
"PSG / Young Rider / Junior","HanoverianBayGelding12 years16.3 hands","£40,000"
"Cevin Z colt foal","Sport HorseChestnutColtUnder 1","£10,000 + VAT"
"Top Class Amateur/COH/young riders horse","Dutch WarmbloodBayGelding11 years16.1 hands","£18,000 ono"
"Lovely Looking Experienced Hunter","Irish DraughtBayGelding8 years17 hands","£15,000 ono"
"HUGO BOSS - STRIKING DUN GELDING","Irish Sports HorseCream DunGelding10 years16.1 hands (AHC)","SOLD!"
"Top Quality, Genuine, Multi-talented Sports Horse","Irish Sports HorseBright bayGelding7 years16.3 hands","£15,250"
"An Exceptional Young Mare","British WarmbloodGreyMare3 years15.3 hands","£6,750"
"Just William","Irish Sports PonySkewbaldGelding12 years14.2 hands (LHC)","£7,000"
"Beautiful & Safe","Arab Part BredPiebaldMare4 years14.2 hands","SOLD! SOLD!"
"SPECKLES","Mare9 years15.2 hands","£5,250"
"QUALITY HOMEBRED PERFORMANCE HORSES","","£5,000 - Prices start from"
"BGS Skyline","Irish Sports HorseBayGelding8 years16.2 hands","SOLD!"
"Lovely Dun Mare","Sport HorseDunMare6 years16.1 hands","SOLD!"
"Quality Mare for Sale","HolsteinerBayMare6 years16.2 hands","£25,000 neg"
"Advanced Eventer for Sale","Irish Sports HorseGreyGelding11 years16.1 hands","£45,000 neg"
"STRIKING DRESSAGE / SHOWJUMP","WarmbloodBrownMare9 years16.3 hands","£9,500"
"Top Allrounder Prospect by Indoctro","Irish Sports HorseDark bayMare6 years16.2 hands",""
"German Freelance Rider available","","POA"
"CHACCO BLUE STALLION","","£550 *JULY OFFER*"
"Quality Bay Irish Draught Colt","Irish DraughtBayColt2 years17 hands","£4,250 ovno"
"Beautifully marked gelding for sale","Irish Sports HorseGelding4 years15.2 hands","£4,000"
"HOYS M&M LARGE JUNIOR RIDDEN","Welsh Section DBayMare7 years147 cm (AHC)","£15,000 ono"
"Plasucha Classy Lady","Welsh Part BredColouredFilly","£3,900 ONO"
"Amazing all rounder","Irish DraughtDapple greyFilly3 years15.1 hands","£5,500"
"Great eventing breeding","ID x TBIron greyColtUnder 116 hands","£5,000"
"Fab Small Competition Horse","ThoroughbredBayMare8 years15.1 hands","£5,500 ovno"
"A Foal to Build your Dreams On","WarmbloodBayFillyUnder 1","£10,000"
"16.3 8yo gelding allrounder","Irish Sports HorseDark bayGelding8 years16.3 hands","£5,900 ono"
"Lexus W & W","Gelding3 years16.1 hands","£7,650"
"Kyra","BayMare5 years15.2 hands",""
"2018 stallion","BayStallion2 years","POA"
"INTERNATIONAL GRADE A SHOWJUMPER","Belgian WarmbloodGreyGelding10 years16 hands","£20,000 ono"
"INDIE","IrishBayMare14 years15.3 hands","£5,000"
"Eventer / show jumper","Irish Sports HorseSkewbaldGelding10 years16.2 hands","£15,000"
"Looking for a Forever Friend","",""
"Beautiful NNH/Small Hunter","CobSkewbaldMare9 years15.2 hands","£9,000"
"Happy hack","BayMare8 years15.3 hands","£2,000"
"Genuine & Gorgeous Palamino Gelding!","LusitanoPalominoGelding9 years15.3 hands","SOLD! Sold to a lovely home. Thank you to everyone that got in touch."
"Full Irish draft 3yrs","Irish DraughtSteel greyGelding3 years14.3 hands","£4,500"
"EVENT -SHOW - DRESSAGE - SHOW JUMP","Irish Sports HorseChestnutGelding5 years16.3 hands","£12,000"
"Perlino Broodmare","Welsh Section ACremelloMare15 years11 hands","£700"
"Serious Competition Horse","TB xBayMare12 years16.1 hands","£18,000 ovno"
"Happy Hack / Allrounder","TB xSkewbaldMare14 years16.2 hands","£4,000 ono"
"Winning machine","WarmbloodDark bayMare6 years15.3 hands","£14,000"
